ID,Date,Basin,Region,Pollutant,Concentration,MPC,water_body,water_body_type,station,source_bulletin
44,2024-09-30,Balkash-Alakol,Almaty,Copper,0.0009,0.001,Үлкен Алматы көлі,lake,,Balkash-Alakol_2024-09.pdf
45,2024-09-30,Balkash-Alakol,Almaty,Copper,0.0021,0.001,Алакөл көлі,lake,,Balkash-Alakol_2024-09.pdf
46,2024-09-30,Balkash-Alakol,Almaty,Copper,0.0021,0.001,Балқаш көлі,lake,,Balkash-Alakol_2024-09.pdf
47,2024-09-30,Balkash-Alakol,Almaty,Nitrates,1.416512,45.0,Балқаш көлі,lake,,Balkash-Alakol_2024-09.pdf
48,2024-09-30,Balkash-Alakol,Almaty,Nitrates,1.859172,45.0,Үлкен Алматы көлі,lake,,Balkash-Alakol_2024-09.pdf
49,2024-09-30,Balkash-Alakol,Almaty,Nitrates,3.054354,45.0,Алакөл көлі,lake,,Balkash-Alakol_2024-09.pdf
50,2024-09-30,Balkash-Alakol,Almaty,Oil Products,0.01,0.05,Алакөл көлі,lake,,Balkash-Alakol_2024-09.pdf
51,2024-09-30,Balkash-Alakol,Almaty,Oil Products,0.04,0.05,Үлкен Алматы көлі,lake,,Balkash-Alakol_2024-09.pdf
52,2024-09-30,Balkash-Alakol,Almaty,Phenols,0.0003,0.001,Балқаш көлі,lake,,Balkash-Alakol_2024-09.pdf
53,2024-09-30,Balkash-Alakol,Almaty,Sulfates,10.0,500.0,Үлкен Алматы көлі,lake,,Balkash-Alakol_2024-09.pdf
54,2024-09-30,Balkash-Alakol,Almaty,Sulfates,2056.667,500.0,Балқаш көлі,lake,,Balkash-Alakol_2024-09.pdf
55,2024-09-30,Balkash-Alakol,Almaty,Sulfates,2270.0,500.0,Алакөл көлі,lake,,Balkash-Alakol_2024-09.pdf
56,2024-09-30,Balkash-Alakol,Almaty,Zinc,0.0008,0.01,Үлкен Алматы көлі,lake,,Balkash-Alakol_2024-09.pdf
57,2024-09-30,Balkash-Alakol,Almaty,Zinc,0.0016,0.01,Алакөл көлі,lake,,Balkash-Alakol_2024-09.pdf
58,2024-09-30,Balkash-Alakol,Almaty,Zinc,0.002,0.01,Балқаш көлі,lake,,Balkash-Alakol_2024-09.pdf
59,2024-10-31,Balkash-Alakol,Almaty,Copper,0.0006,0.001,Үлкен Алматы көлі,lake,,Balkash-Alakol_2024-10.pdf
60,2024-10-31,Balkash-Alakol,Almaty,Copper,0.0024,0.001,Алакөл көлі,lake,,Balkash-Alakol_2024-10.pdf
61,2024-10-31,Balkash-Alakol,Almaty,Copper,0.0026,0.001,Балқаш көлі,lake,,Balkash-Alakol_2024-10.pdf
62,2024-10-31,Balkash-Alakol,Almaty,Nitrates,0.01505,45.0,Балқаш көлі,lake,,Balkash-Alakol_2024-10.pdf
63,2024-10-31,Balkash-Alakol,Almaty,Nitrates,1.505044,45.0,Үлкен Алматы көлі,lake,,Balkash-Alakol_2024-10.pdf
64,2024-10-31,Balkash-Alakol,Almaty,Nitrates,3.628041,45.0,Алакөл көлі,lake,,Balkash-Alakol_2024-10.pdf
65,2024-10-31,Balkash-Alakol,Almaty,Oil Products,0.01,0.05,Алакөл көлі,lake,,Balkash-Alakol_2024-10.pdf
66,2024-10-31,Balkash-Alakol,Almaty,Oil Products,0.01,0.05,Үлкен Алматы көлі,lake,,Balkash-Alakol_2024-10.pdf
67,2024-10-31,Balkash-Alakol,Almaty,Sulfates,12.0,500.0,Үлкен Алматы көлі,lake,,Balkash-Alakol_2024-10.pdf
68,2024-10-31,Balkash-Alakol,Almaty,Sulfates,349.0,500.0,Балқаш көлі,lake,,Balkash-Alakol_2024-10.pdf
69,2024-10-31,Balkash-Alakol,Almaty,Sulfates,2200.0,500.0,Алакөл көлі,lake,,Balkash-Alakol_2024-10.pdf
70,2024-10-31,Balkash-Alakol,Almaty,Zinc,0.0005,0.01,Үлкен Алматы көлі,lake,,Balkash-Alakol_2024-10.pdf
71,2024-10-31,Balkash-Alakol,Almaty,Zinc,0.0019,0.01,Алакөл көлі,lake,,Balkash-Alakol_2024-10.pdf
72,2024-10-31,Balkash-Alakol,Almaty,Zinc,0.002,0.01,Балқаш көлі,lake,,Balkash-Alakol_2024-10.pdf
73,2024-06-30,Ertis,VKO,Copper,0.0035,0.001,Алакөл көлі,lake,,Ertis_2024-06.pdf
74,2024-06-30,Ertis,VKO,Copper,9.04,0.001,Арасан өз.,river,,Ertis_2024-06.pdf
75,2024-06-30,Ertis,VKO,Nitrates,4.161004,45.0,Алакөл көлі,lake,,Ertis_2024-06.pdf
76,2024-06-30,Ertis,VKO,Oil Products,0.01,0.05,Алакөл көлі,lake,,Ertis_2024-06.pdf
77,2024-06-30,Ertis,VKO,Sulfates,3150.0,500.0,Алакөл көлі,lake,,Ertis_2024-06.pdf
78,2024-06-30,Ertis,VKO,Zinc,0.013,0.01,Алакөл көлі,lake,,Ertis_2024-06.pdf
79,2024-06-30,Ertis,VKO,Zinc,29.79,0.01,Арасан өз.,river,,Ertis_2024-06.pdf
80,2024-08-31,Ertis,VKO,Copper,0.0024,0.001,бірлігі Алакөл көлі,lake,,Ertis_2024-08.pdf
81,2024-08-31,Ertis,VKO,Nitrates,4.470866,45.0,бірлігі Алакөл көлі,lake,,Ertis_2024-08.pdf
82,2024-08-31,Ertis,VKO,Oil Products,0.01,0.05,бірлігі Алакөл көлі,lake,,Ertis_2024-08.pdf
83,2024-08-31,Ertis,VKO,Sulfates,1682.0,500.0,бірлігі Алакөл көлі,lake,,Ertis_2024-08.pdf
84,2024-08-31,Ertis,VKO,Zinc,0.0085,0.01,бірлігі Алакөл көлі,lake,,Ertis_2024-08.pdf
85,2024-08-31,Ertis,VKO,Zinc,13.8,0.01,Арасан өз.,river,,Ertis_2024-08.pdf
86,2024-09-30,Ertis,VKO,Copper,0.0034,0.001,Алакөл көлі,lake,,Ertis_2024-09.pdf
87,2024-09-30,Ertis,VKO,Copper,0.0048,0.001,Зайсан көлі,lake,,Ertis_2024-09.pdf
88,2024-09-30,Ertis,VKO,Nitrates,8.499072,45.0,Зайсан көлі,lake,,Ertis_2024-09.pdf
89,2024-09-30,Ertis,VKO,Nitrates,8.587604,45.0,Алакөл көлі,lake,,Ertis_2024-09.pdf
90,2024-09-30,Ertis,VKO,Oil Products,0.02,0.05,Алакөл көлі,lake,,Ertis_2024-09.pdf
91,2024-09-30,Ertis,VKO,Oil Products,0.03,0.05,Зайсан көлі,lake,,Ertis_2024-09.pdf
92,2024-09-30,Ertis,VKO,Sulfates,40.0,500.0,Зайсан көлі,lake,,Ertis_2024-09.pdf
93,2024-09-30,Ertis,VKO,Sulfates,1960.0,500.0,Алакөл көлі,lake,,Ertis_2024-09.pdf
94,2024-10-31,Ertis,VKO,Copper,0.0021,0.001,Алакөл көлі,lake,,Ertis_2024-10.pdf
